Date;Joueur;Scores;Sets joues;Sets gagnes;Sets perdus;Developpement;Points
22/03/2022 01:57;KRa;4;249;220;29;10;1235
22/03/2022 23:52;Marin;0;83;30;53;20;897
22/03/2022 23:52;KRa;5;254;225;29;10;1239
23/03/2022 21:47;PLN;5;121;44;77;20;1059
23/03/2022 21:47;Marin;1;89;31;58;20;889
24/03/2022 19:41;Colas;3;159;91;68;20;1088
24/03/2022 19:41;PLN;1;125;45;80;20;1041
25/03/2022 17:36;PLN;3;128;48;80;20;1054
25/03/2022 17:36;LL;0;71;21;50;20;871
26/03/2022 15:31;Gessien;2;126;49;77;20;942
26/03/2022 15:31;Sutter;1;80;26;54;20;883
27/03/2022 13:25;Sutter;2;82;28;54;20;902
27/03/2022 13:25;LL;0;73;21;52;20;852
28/03/2022 11:20;KRa;2;256;227;29;10;1243
28/03/2022 11:20;Colas;0;161;91;70;20;1079
29/03/2022 09:15;KRa;2;258;229;29;10;1244
29/03/2022 09:15;Sutter;0;84;28;56;20;899
30/03/2022 07:10;KRa;2;260;231;29;10;1245
30/03/2022 07:10;Gessien;0;128;49;79;20;939
31/03/2022 05:04;Colas;2;163;93;70;20;1087
31/03/2022 05:04;Sutter;0;86;28;58;20;891
